// poisson vie infinie, naissance a chaque tour
// requin 3 vies, naissances tous les 3 tours
Poissons	Requins
0.9247058824	0.9183333333
1.011223186	1.884863889
1.859121767	2.826474773
1.55168241	2.168201661
2.305033146	2.788626232
1.834775557	3.375065027
2.479726797	4.101234123
2.028084427	3.354196702
2.604426261	3.577278982
2.213165877	4.216884107
2.719879206	4.973528208
2.491102374	4.252883954
2.919892713	4.228338522
2.823249519	4.775695065
3.188265121	5.538986205
3.203951067	4.973573803
3.599209979	4.826134357
3.809196164	5.28031449
4.222435281	6.008215815
4.399490801	5.581386076
4.862730523	5.430734297
5.160073753	5.778860028
5.706300209	6.314377626
6.000426682	6.166579397
6.500960864	5.980354299
6.91778084	6.182000148
7.481505587	6.636751386
7.733809753	6.57938904
8.209297284	6.525674396
8.360254415	6.524731588
8.738262859	6.843761283
8.57339061	6.828109923
8.584332766	6.810791395
8.278216964	6.728283828
8.179482238	7.105012173
6.86356971	7.274098435
5.96029	7.309621564
5.274181087	7.188239332
4.464330577	7.473005247
3.829269983	7.312727667
3.430573196	7.159923877
3.201118038	6.696193888
3.318687055	6.868904769
3.404082151	6.589358488
3.313411529	6.067000977
3.371049135	5.848791801
3.2377628	6.1822219
3.315691818	5.960921408
3.262374933	5.978861626
3.297003564	6.127845528
3.242304881	6.463222416
3.359796494	6.291796711
3.307503542	6.210458348
3.451015838	6.453056076
3.453269712	6.664214641
3.712541855	6.547926688
3.738661841	6.310593333
4.007446024	6.380785257
4.130156607	6.775304152
4.397539048	6.781236758
4.568431198	6.528356454
4.776869764	6.600641321
5.019227161	6.991604277
5.268573745	7.028505533
5.499086393	6.769019402
5.71224853	6.78952609
5.959987454	7.189818895
6.154167085	7.284015223
6.331335003	7.203262879
6.543422865	7.160109991
6.792346476	7.503380064
6.995617693	7.520028374
7.240793488	7.240407272
7.517973627	7.27464138
7.789670661	7.64338118
8.037324614	7.760252208
8.339207507	7.823281994
8.56084207	7.751080848
8.811539153	8.05222107
9.051543506	7.870892584
9.268378361	7.963598914
9.461094553	7.795786894
9.705037703	8.216775108
9.889213356	8.209668702
10.08138377	8.015920138
10.26282854	8.080128106
10.44549074	8.187278059
10.51467738	8.090147402
10.61929092	7.968775458
10.67864738	7.963968295
10.78544073	8.36626737
10.8290296	8.330732925
10.8166814	8.165815563
10.88881729	8.35782992
10.72611867	8.751166521
10.73433378	8.625212853
10.66768895	8.341177843
10.76430486	8.222319329
10.87821729	8.455191185
10.97313449	8.426884779
11.11494148	8.007233377
11.12200895	7.963159583
11.37632709	7.993005361
11.57189927	8.091562108
11.59253353	7.92574031
11.66266527	7.729397982
11.73729372	8.018083775
11.7914845	8.092097683
11.80540611	7.735581808
11.82825984	7.687216954
11.86973202	7.913415185
12.02725698	8.079272692
12.02410902	7.782053399
12.03951947	7.917485386
12.21170114	7.881391918
12.20964156	7.994525553
12.18097996	7.511898837
11.95333996	7.637430352
11.94592265	7.542327892
11.71360555	7.795300583
11.68862307	7.630449205
11.56819775	7.893557655
11.36377944	7.85281595
11.34342241	8.096677732
11.2633363	8.240834345
11.00730999	8.208322499
10.85718566	8.063550202
10.59555663	8.359693608
10.55316818	8.345087566
10.24628084	8.543238948
