// grille 50 x 50
// initialisee avec 200 poissons, 50 requins
NbPoissons  NbRequins   Ratio
132	150	0
178	150	1
147	150	0
258	198	1
234	206	1
338	178	1
336	164	2
508	169	3
514	177	2
646	169	3
645	166	3
850	207	4
870	228	3
1018	233	4
1044	229	4
1210	291	4
1238	323	3
1269	339	3
1272	338	3
1364	415	3
1323	479	2
1277	508	2
1145	519	2
1107	632	1
992	693	1
872	697	1
728	693	1
639	723	0
544	762	0
427	747	0
337	726	0
261	644	0
211	586	0
147	525	0
107	453	0
63	371	0
67	311	0
43	262	0
61	216	0
47	154	0
72	105	0
56	78	0
85	67	1
69	58	1
92	66	1
75	58	1
100	70	1
88	70	1
122	81	1
107	79	1
141	86	1
137	82	1
174	84	2
182	83	2
227	99	2
243	107	2
268	116	2
293	119	2
337	142	2
367	146	2
404	158	2
446	160	2
511	178	2
561	186	3
622	205	3
672	209	3
715	218	3
738	227	3
782	228	3
791	236	3
816	246	3
786	249	3
807	260	3
780	268	2
805	277	2
762	286	2
786	298	2
766	323	2
782	333	2
752	336	2
772	332	2
761	325	2
796	339	2
778	344	2
761	330	2
749	334	2
742	338	2
741	337	2
724	312	2
717	296	2
725	297	2
742	307	2
743	296	2
730	283	2
742	282	2
745	301	2
740	300	2
759	303	2
787	309	2
821	307	2
865	294	2
883	278	3
932	264	3
985	244	4
1037	241	4
1088	247	4
1137	249	4
1190	249	4
1213	243	4
1276	250	5
1269	250	5
1317	266	4
1324	271	4
1362	287	4
1357	294	4
1358	291	4
1316	279	4
1300	284	4
1248	278	4
1216	297	4
1155	291	3
1104	311	3
1043	319	3
976	328	2
910	329	2
860	325	2
802	317	2
756	314	2
705	290	2
660	282	2
609	255	2
567	242	2
535	246	2
502	233	2
463	218	2
426	211	2
388	223	1
362	224	1
327	228	1
315	226	1
321	227	1
330	227	1
339	208	1
365	189	1
423	177	2
476	169	2
529	147	3
625	137	4
727	138	5
825	124	6
888	106	8
1017	109	9
1091	113	9
1174	99	11
1231	95	12
1333	97	13
1405	107	13
1456	107	13
1505	103	14
1583	114	13
1620	124	13
1667	123	13
1706	113	15
1764	135	13
1793	134	13
1828	128	14
1859	119	15
1913	131	14
1933	132	14
1956	127	15
1964	123	15
2008	149	13
1981	149	13
1959	151	12
1946	142	13
1940	167	11
1907	168	11
1861	167	11
1832	161	11
1822	194	9
1788	206	8
1760	206	8
1702	190	8
1704	187	9
1663	194	8
1625	194	8
1575	185	8
1569	213	7
1532	218	7
1478	220	6
1431	213	6
1429	247	5
1406	265	5
1352	248	5
1316	240	5
1311	268	4
1272	269	4
1207	254	4
1170	239	4
1178	285	4
1130	294	3
1073	286	3
1066	270	3
1079	298	3
1050	304	3
1004	288	3
975	266	3
960	283	3
947	299	3
906	304	2
860	309	2
845	336	2
834	354	2
806	359	2
792	357	2
800	343	2
790	339	2
758	330	2
735	325	2
729	339	2
737	358	2
719	361	1
727	342	2
716	323	2
751	326	2
722	321	2
718	320	2
706	316	2
742	344	2
765	344	2
771	338	2
790	310	2
812	287	2
814	295	2
823	295	2
806	271	2
824	272	3
828	252	3
822	256	3
818	241	3
820	248	3
807	229	3
803	231	3
806	228	3
796	237	3
838	233	3
815	244	3
842	246	3
836	250	3
863	265	3
868	283	3
896	288	3
897	282	3
930	283	3
958	290	3
989	294	3
1019	290	3
1056	273	3
1087	270	4
1105	251	4
1073	230	4
1034	223	4
1011	218	4
974	220	4
952	230	4
926	233	3
886	236	3
874	233	3
831	248	3
789	257	3
762	262	2
722	271	2
714	282	2
689	282	2
660	289	2
637	289	2
637	297	2
614	312	1
605	321	1
621	317	1
644	310	2
658	302	2
694	258	2
718	239	3
756	208	3
776	175	4
803	152	5
844	144	5
893	132	6
926	128	7
979	114	8
1020	107	9
1072	102	10
1115	108	10
1149	105	10
1207	108	11
1265	111	11
1337	133	10
1387	126	11
1462	125	11
1514	126	12
1550	132	11
1590	134	11
1615	142	11
1663	156	10
1672	176	9
1698	184	9
1695	176	9
1709	190	8
1695	200	8
1677	208	8
1635	206	7
1612	218	7
1566	232	6
1523	244	6
1449	249	5
1401	244	5
1361	250	5
1328	270	4
1269	268	4
1223	270	4
1189	265	4
1138	276	4
1086	281	3
1031	275	3
1003	286	3
971	323	3
911	314	2
875	315	2
879	321	2
879	336	2
879	350	2
866	329	2
869	313	2
909	319	2
912	318	2
934	303	3
943	287	3
989	295	3
988	300	3
1008	292	3
1020	284	3
1056	288	3
1045	287	3
1051	265	3
1048	267	3
1049	279	3
1030	284	3
1023	288	3
1013	303	3
1017	320	3
999	322	3
993	321	3
978	311	3
970	305	3
950	318	2
915	336	2
859	325	2
833	353	2
783	361	2
740	364	2
678	362	1
637	365	1
585	358	1
571	370	1
535	360	1
514	350	1
485	325	1
494	308	1
500	306	1
514	291	1
520	262	1
550	243	2
574	238	2
608	220	2
605	200	3
656	203	3
675	194	3
698	187	3
701	166	4
740	165	4
747	167	4
787	174	4
807	170	4
877	180	4
913	189	4
972	200	4
1007	202	4
1067	229	4
1110	254	4
1160	268	4
1176	272	4
1242	295	4
1266	304	4
1298	312	4
1284	288	4
1321	279	4
1305	255	5
1314	248	5
1281	254	5
1293	264	4
1262	281	4
1261	309	4
1221	313	3
1218	318	3
1173	338	3
1165	333	3
1100	328	3
1083	336	3
1013	342	2
970	342	2
891	352	2
848	365	2
766	363	2
720	371	1
650	361	1
617	354	1
558	338	1
523	316	1
475	279	1
454	276	1
433	263	1
415	256	1
401	246	1
419	230	1
420	228	1
453	224	2
459	210	2
508	192	2
535	197	2
590	188	3
